日期,收盘,开盘,高,低,交易量,涨跌幅
2018年3月26日,"1,126.00","1,126.00","1,126.00","1,126.00",-,0.36%
2018年3月27日,"1,117.00","1,117.00","1,117.00","1,117.00",-,-0.80%
2018年3月28日,"1,080.00","1,080.00","1,080.00","1,080.00",-,-3.31%
2018年3月29日,"1,055.00","1,055.00","1,055.00","1,055.00",-,-2.31%
2018年4月3日,"1,016.00","1,016.00","1,016.00","1,016.00",-,-3.70%
2018年4月4日,977,977,977,977,-,-3.84%
2018年4月5日,953,953,953,953,-,-2.46%
2018年4月6日,948,948,948,948,-,-0.52%
2018年4月9日,952,952,952,952,-,0.42%
2018年4月10日,974,974,974,974,-,2.31%
2018年4月11日,979,979,979,979,-,0.51%
2018年4月12日,993,993,993,993,-,1.43%
2018年4月13日,"1,014.00","1,014.00","1,014.00","1,014.00",-,2.11%
2018年4月16日,"1,025.00","1,025.00","1,025.00","1,025.00",-,1.08%
2018年4月17日,"1,052.00","1,052.00","1,052.00","1,052.00",-,2.63%
2018年4月18日,"1,124.00","1,124.00","1,124.00","1,124.00",-,6.84%
2018年4月19日,"1,201.00","1,201.00","1,201.00","1,201.00",-,6.85%
2018年4月20日,"1,281.00","1,281.00","1,281.00","1,281.00",-,6.66%
2018年4月23日,"1,306.00","1,306.00","1,306.00","1,306.00",-,1.95%
2018年4月24日,"1,330.00","1,330.00","1,330.00","1,330.00",-,1.84%
2018年4月25日,"1,376.00","1,376.00","1,376.00","1,376.00",-,3.46%
2018年4月26日,"1,375.00","1,375.00","1,375.00","1,375.00",-,-0.07%
2018年4月27日,"1,361.00","1,361.00","1,361.00","1,361.00",-,-1.02%
2018年4月30日,"1,341.00","1,341.00","1,341.00","1,341.00",-,-1.47%
2018年5月1日,"1,327.00","1,327.00","1,327.00","1,327.00",-,-1.04%
2018年5月2日,"1,346.00","1,346.00","1,346.00","1,346.00",-,1.43%
2018年5月3日,"1,376.00","1,376.00","1,376.00","1,376.00",-,2.23%
2018年5月4日,"1,384.00","1,384.00","1,384.00","1,384.00",-,0.58%
2018年5月8日,"1,432.00","1,432.00","1,432.00","1,432.00",-,3.47%
2018年5月9日,"1,465.00","1,465.00","1,465.00","1,465.00",-,2.30%
2018年5月10日,"1,453.00","1,453.00","1,453.00","1,453.00",-,-0.82%
2018年5月11日,"1,472.00","1,472.00","1,472.00","1,472.00",-,1.31%
2018年5月14日,"1,476.00","1,476.00","1,476.00","1,476.00",-,0.27%
2018年5月15日,"1,468.00","1,468.00","1,468.00","1,468.00",-,-0.54%
2018年5月16日,"1,403.00","1,403.00","1,403.00","1,403.00",-,-4.43%
2018年5月17日,"1,305.00","1,305.00","1,305.00","1,305.00",-,-6.99%
2018年5月18日,"1,273.00","1,273.00","1,273.00","1,273.00",-,-2.45%
2018年5月21日,"1,239.00","1,239.00","1,239.00","1,239.00",-,-2.67%
2018年5月22日,"1,199.00","1,199.00","1,199.00","1,199.00",-,-3.23%
2018年5月23日,"1,162.00","1,162.00","1,162.00","1,162.00",-,-3.09%
2018年5月24日,"1,109.00","1,109.00","1,109.00","1,109.00",-,-4.56%
2018年5月25日,"1,077.00","1,077.00","1,077.00","1,077.00",-,-2.89%
2018年5月29日,"1,057.00","1,057.00","1,057.00","1,057.00",-,-1.86%
2018年5月30日,"1,042.00","1,042.00","1,042.00","1,042.00",-,-1.42%
2018年5月31日,"1,090.00","1,090.00","1,090.00","1,090.00",-,4.61%
2018年6月1日,"1,156.00","1,156.00","1,156.00","1,156.00",-,6.06%
2018年6月4日,"1,193.00","1,193.00","1,193.00","1,193.00",-,3.20%
2018年6月5日,"1,249.00","1,249.00","1,249.00","1,249.00",-,4.69%
2018年6月6日,"1,340.00","1,340.00","1,340.00","1,340.00",-,7.29%
2018年6月7日,"1,395.00","1,395.00","1,395.00","1,395.00",-,4.10%
2018年6月8日,"1,391.00","1,391.00","1,391.00","1,391.00",-,-0.29%
2018年6月11日,"1,387.00","1,387.00","1,387.00","1,387.00",-,-0.29%
2018年6月12日,"1,390.00","1,390.00","1,390.00","1,390.00",-,0.22%
2018年6月13日,"1,404.00","1,404.00","1,404.00","1,404.00",-,1.01%
2018年6月14日,"1,433.00","1,433.00","1,433.00","1,433.00",-,2.07%
2018年6月15日,"1,445.00","1,445.00","1,445.00","1,445.00",-,0.84%
2018年6月18日,"1,442.00","1,442.00","1,442.00","1,442.00",-,-0.21%
2018年6月19日,"1,419.00","1,419.00","1,419.00","1,419.00",-,-1.60%
2018年6月20日,"1,373.00","1,373.00","1,373.00","1,373.00",-,-3.24%
2018年6月21日,"1,347.00","1,347.00","1,347.00","1,347.00",-,-1.89%
2018年6月22日,"1,341.00","1,341.00","1,341.00","1,341.00",-,-0.45%
2018年6月25日,"1,333.00","1,333.00","1,333.00","1,333.00",-,-0.60%
2018年6月26日,"1,323.00","1,323.00","1,323.00","1,323.00",-,-0.75%
2018年6月27日,"1,309.00","1,309.00","1,309.00","1,309.00",-,-1.06%
2018年6月28日,"1,329.00","1,329.00","1,329.00","1,329.00",-,1.53%
2018年6月29日,"1,385.00","1,385.00","1,385.00","1,385.00",-,4.21%
2018年7月2日,"1,422.00","1,422.00","1,422.00","1,422.00",-,2.67%
2018年7月3日,"1,476.00","1,476.00","1,476.00","1,476.00",-,3.80%
2018年7月4日,"1,567.00","1,567.00","1,567.00","1,567.00",-,6.17%
2018年7月5日,"1,612.00","1,612.00","1,612.00","1,612.00",-,2.87%
2018年7月6日,"1,622.00","1,622.00","1,622.00","1,622.00",-,0.62%
2018年7月9日,"1,609.00","1,609.00","1,609.00","1,609.00",-,-0.80%
2018年7月10日,"1,555.00","1,555.00","1,555.00","1,555.00",-,-3.36%
2018年7月11日,"1,586.00","1,586.00","1,586.00","1,586.00",-,1.99%
2018年7月12日,"1,632.00","1,632.00","1,632.00","1,632.00",-,2.90%
2018年7月13日,"1,666.00","1,666.00","1,666.00","1,666.00",-,2.08%
